epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3658,1.71465,3.45971,1.64967,0.52492,0.48163,0.57183,0.28081,1.91057,2.18896,1.78608,0.000301629,0.000301629,0.000301629
2,40.105,1.60284,2.38814,1.52544,0.66252,0.6876,0.71611,0.32145,1.81046,1.6794,1.84655,0.000544771,0.000544771,0.000544771
3,50.5871,1.57107,2.02982,1.49544,0.44904,0.72867,0.62733,0.29951,1.73956,1.73924,1.65763,0.000727918,0.000727918,0.000727918
4,60.8862,1.53021,1.70729,1.47481,0.67764,0.78413,0.76957,0.38714,1.79128,1.51857,1.75261,0.000639027,0.000639027,0.000639027
5,71.2737,1.48522,1.45187,1.42388,0.58539,0.74166,0.74339,0.412,1.71879,1.41153,1.70149,0.000549036,0.000549036,0.000549036
6,81.7098,1.43647,1.29785,1.4109,0.80892,0.7754,0.82526,0.4207,1.76312,1.31656,1.72248,0.000459045,0.000459045,0.000459045
7,92.186,1.42464,1.18241,1.38614,0.69212,0.66461,0.79819,0.45699,1.68543,1.35203,1.6418,0.000369054,0.000369054,0.000369054
8,102.605,1.35105,1.07241,1.34354,0.71766,0.84274,0.83738,0.4572,1.71022,1.19239,1.68264,0.000279063,0.000279063,0.000279063
9,113.137,1.32088,0.96919,1.32214,0.69114,0.90043,0.85343,0.44498,1.65866,1.15119,1.66152,0.000189072,0.000189072,0.000189072
10,123.414,1.25686,0.91553,1.28608,0.75955,0.76088,0.80533,0.43086,1.68321,1.14401,1.709,9.9081e-05,9.9081e-05,9.9081e-05
