epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.769,1.41996,3.01204,1.6393,0.68019,0.59202,0.60185,0.31107,1.64458,1.81515,1.65127,0.000476079,0.000476079,0.000476079
2,218.132,1.40258,1.62988,1.58014,0.69705,0.67601,0.74669,0.40903,1.58118,1.43932,1.58314,0.000858123,0.000858123,0.000858123
3,309.709,1.34537,1.41276,1.52968,0.79843,0.75791,0.79272,0.42476,1.62263,1.39751,1.59139,0.00114585,0.00114585,0.00114585
4,401.068,1.28409,1.20097,1.47164,0.87878,0.80246,0.87267,0.46856,1.67754,1.10046,1.585,0.00100459,0.00100459,0.00100459
5,492.361,1.20406,1.00796,1.40421,0.86708,0.80294,0.87594,0.49331,1.53724,1.03453,1.51167,0.000863116,0.000863116,0.000863116
6,584.385,1.14916,0.87057,1.35279,0.88207,0.84671,0.91376,0.53285,1.47307,0.91495,1.42817,0.000721645,0.000721645,0.000721645
7,672.526,1.08398,0.76434,1.308,0.92733,0.87727,0.92326,0.54882,1.49541,0.86556,1.44838,0.000580174,0.000580174,0.000580174
8,759.672,1.02746,0.68819,1.26255,0.89849,0.87349,0.92247,0.55314,1.51091,0.8317,1.45804,0.000438703,0.000438703,0.000438703
9,847.118,0.97022,0.60057,1.21958,0.93735,0.89382,0.94314,0.60605,1.33226,0.73288,1.35535,0.000297232,0.000297232,0.000297232
10,940.363,0.9149,0.54075,1.18237,0.94001,0.90762,0.95043,0.61206,1.34166,0.71023,1.36255,0.000155761,0.000155761,0.000155761
